name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1266,293,292,304,1014,212,1270,261,285,68,135,943,0.4625,23,5.646518204,8,163,0.44047619
translated_askap_LoadParset.graphml,14,13,13,13,14,13,14,13,13,6,3,13,0.013513514,2,0.666666667,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,467,140,107,107,421,146,467,122,140,25,31,165,0.851351351,11,7.246138807,9,41,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,4683,403,671,674,4747,605,4714,1015,407,197,711,4868,0.061666667,17,5.937406028,80,899,0.061666667
translated_CALIB_6_copies.graphml,997,193,193,204,980,181,954,184,193,18,162,1026,0.44047619,13,5.89668616,12,198,0.560606061
translated_lofar_test_2x4.graphml,2169,438,462,453,2155,308,2166,358,443,140,220,1496,0.04468599,42,5.248031113,18,256,0.102777778
translated_chiles_two_6_copies.graphml,1007,196,240,250,1045,206,994,235,193,41,140,924,0.220238095,13,5.084052257,24,157,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,22425,1138,3012,3056,25931,2658,22459,4781,1168,324,3467,24009,0.009946237,31,6.116411999,240,4494,0.010632184
translated_askap_hello.graphml,87,21,21,18,85,23,85,21,23,8,5,22,0.027027027,3,2.290909091,2,4,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,3595,503,684,693,4721,630,3598,838,512,215,559,3852,0.076131687,31,5.717547467,36,708,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,18742,1011,2531,2538,20224,2239,18695,3624,992,338,2899,19943,0.014501274,31,6.129555297,189,3750,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,21179,1002,2945,2924,21422,2452,21103,4291,989,224,3271,22415,0.01712963,23,5.85815232,216,4131,0.016313933
translated_dist_sagecal.graphml,2610,599,486,496,2498,449,2610,448,597,136,98,595,0.324561404,53,10.38840679,3,156,0.483660131
translated_askap_LoadVis.graphml,14,13,13,13,14,13,14,13,13,6,3,13,0.013513514,2,0.666666667,1,2,0.013513514
translated_test_grpby_gather.graphml,856,183,177,192,811,144,854,181,171,3,154,1019,0.32173913,7,6.846641092,23,212,0.643478261
translated_chiles_two.graphml,577,157,176,164,524,136,583,153,153,20,76,530,0.44047619,13,3.973783515,12,82,0.560606061
translated_facet_img_8-8-4_copies.graphml,29524,1395,3948,3940,33704,3101,29431,6285,1410,106,4583,31603,0.007459677,31,6.118246583,320,5953,0.007974138
translated_mwa_gleam.graphml,836,223,205,203,824,169,831,172,216,33,130,812,0.37,19,3.754973475,10,125,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,5800,371,757,766,5896,620,5818,1115,372,21,906,6207,0.036489152,8,5.556768314,156,1104,0.079059829
translated_lofar_nsm_2x4.graphml,1954,468,390,393,1470,287,1975,336,434,62,214,1416,0.050271739,42,3.737525741,16,220,0.115625
translated_chiles_simple.graphml,212,75,72,72,199,77,212,77,75,17,22,121,0.27027027,5,4.685950413,5,21,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,6592,548,1043,1015,6860,931,6667,1260,551,214,983,6663,0.0578125,23,6.105677807,64,1235,0.055059524
translated_CALIB_12_copies.graphml,1956,266,336,345,1981,252,1957,376,277,14,324,2227,0.220238095,13,5.369655241,24,396,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1266,293,281,304,1014,212,1282,261,293,68,135,943,0.4625,23,5.646518204,8,163,0.44047619
translated_askap_dingo.graphml,476,129,135,144,409,139,482,146,143,20,59,393,0.770833333,12,4.514426187,8,66,0.925
translated_atca_minh_10-8_copies.graphml,1097,225,226,214,1086,230,1098,233,225,51,78,523,0.352380952,11,7.805927342,30,115,0.274074074
translated_lofar_test_4x4.graphml,2829,515,551,544,2779,427,2792,466,495,150,348,2290,0.023657289,42,5.374612257,34,416,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,839,160,160,163,829,147,841,177,148,13,144,910,0.308333333,7,3.115659341,24,132,0.616666667
translated_chiles_two_8_copies.graphml,1140,217,236,267,1131,200,1154,258,225,55,184,1215,0.165178571,13,4.618500626,32,208,0.210227273
translated_lofar_std.graphml,1463,343,359,378,1461,286,1453,336,343,101,192,1280,0.120915033,33,5.023958333,18,224,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1975,318,374,350,1592,287,1929,334,327,137,247,1614,0.137037037,20,6.869151002,30,339,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,356,77,74,74,380,77,373,74,77,12,36,243,0.810810811,7,3.534636488,6,33,0.405405405
translated_askap_dingo_expanded.graphml,476,129,148,144,409,139,472,146,129,20,59,393,0.770833333,12,4.514426187,8,66,0.925
translated_lofar_test_8x8.graphml,7319,704,1275,1260,7423,970,7351,1544,733,92,1202,8193,0.006187291,42,5.474747426,130,1468,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1800,394,329,329,1583,337,1800,299,394,94,59,393,0.216216216,50,9.552507871,2,91,0.770833333
translated_test_mk_grpby.graphml,992,210,268,232,941,155,969,182,190,123,124,810,0.220238095,17,4.930057746,24,145,0.205555556
translated_lofar_cal.graphml,74,22,19,19,74,22,74,19,22,3,4,19,0.013513514,3,2.407894737,1,3,0.013513514
translated_atca_minh.graphml,632,189,169,169,385,160,632,174,188,38,45,303,0.704761905,11,6.939933993,15,63,0.548148148
translated_atca_attila_12_copies.graphml,1289,249,246,255,772,142,1269,193,243,77,96,569,0.186868687,30,7.857187317,36,133,0.073412698
translated_test_seq_gather.graphml,1678,371,338,354,1702,305,1709,295,371,50,74,491,0.864864865,25,6.612786921,4,97,0.804347826
translated_atca_attila_4_copies.graphml,1211,259,175,172,768,217,1211,179,271,65,56,330,0.560606061,30,6.787987013,12,69,0.220238095
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,7138,522,1041,1064,7564,887,7134,1707,523,154,1095,7385,0.028549383,19,8.107003398,144,1603,0.030228758
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,10516,647,1502,1458,11973,1196,10489,2433,627,142,1615,10989,0.019032922,20,8.07216572,216,2379,0.019032922
translated_chiles_two_dev1.graphml,472,127,137,139,499,138,499,111,131,11,78,523,0.474358974,8,4.161494337,12,86,0.972972973
translated_cont_img.graphml,3526,733,571,645,3125,432,3526,399,691,179,148,916,0.616666667,97,5.62199044,4,177,0.194736842
translated_CALIB_8_copies.graphml,1304,212,286,278,1297,201,1294,268,229,19,216,1434,0.330357143,13,5.723306989,16,264,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,9472,880,930,882,9004,825,9459,810,890,370,355,2450,0.1,50,10.0675102,10,579,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,552,132,116,116,394,89,552,89,132,33,26,155,0.040540541,23,3.509677419,3,26,0.851351351
translated_atca_minh_4-5_copies.graphml,737,169,169,168,737,150,737,191,156,22,42,258,0.880952381,11,6.851236619,12,58,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,2816,264,438,428,2894,326,2803,530,276,23,428,2805,0.079059829,12,5.68064371,72,512,0.102777778
translated_CALIB.graphml,660,178,181,190,662,165,670,157,153,18,108,690,0.660714286,13,6.022544283,8,132,0.840909091
translated_lofar_test_4x8.graphml,4297,635,780,799,4521,667,4289,908,633,113,690,4662,0.012187088,42,5.394594595,66,828,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5377,775,729,734,5003,665,5377,641,775,279,207,1398,0.166666667,50,9.498299849,6,335,0.256944444
translated_chiles_two_12_copies.graphml,1756,278,342,329,2024,256,1779,305,267,81,272,1822,0.110119048,13,4.914121521,48,310,0.140151515
translated_chiles_two_dev2.graphml,3410,511,639,642,4308,561,3450,799,533,211,499,3401,0.076131687,31,6.089798533,36,633,0.070881226
translated_mwa_gleam_simple.graphml,495,106,126,126,500,94,484,112,106,15,72,444,0.616666667,7,3.928866366,12,66,0.810810811
translated_facet_img_2-2-2_copies.graphml,1655,355,384,349,1321,299,1588,352,356,220,191,1266,0.228395062,31,5.442379428,12,235,0.212643678
translated_dist_sagecal_sleep.graphml,7014,720,781,765,6283,572,7017,682,754,340,281,1967,0.125,50,9.215620008,8,457,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,1589,198,274,279,1597,196,1572,273,218,13,244,1632,0.142307692,8,5.085794359,40,284,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,585,119,136,136,586,111,591,145,117,17,96,569,0.4625,7,3.608670182,16,88,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,13383,750,1865,1852,13640,1705,13401,3205,762,340,2068,14159,0.027407407,23,5.908906215,135,2604,0.026102293
translated_atca_attila_8_copies.graphml,1337,272,257,243,726,212,1252,225,275,79,76,530,0.28030303,30,6.406529295,24,101,0.110119048
translated_atca_attila.graphml,1172,235,254,254,924,226,1258,258,239,95,66,425,0.373737374,30,6.196969697,18,85,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3539,635,596,583,3667,583,3539,523,639,159,133,888,0.25,50,9.701000813,4,213,0.385416667
