name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1271,267,318,326,1316,284,1244,285,304,80,135,916,0.4625,23,5.812954876,8,163,0.44047619
translated_askap_LoadParset.graphml,29,20,20,20,29,20,29,20,20,13,3,24,0.013513514,2,0.361111111,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,502,122,121,121,453,128,502,121,122,28,31,155,0.851351351,11,7.713631634,9,41,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,5821,531,851,892,5912,879,5840,1127,493,216,711,4889,0.061666667,17,5.91190275,80,899,0.061666667
translated_CALIB_6_copies.graphml,1245,211,254,260,1196,213,1244,236,208,45,162,1028,0.44047619,13,5.885214008,12,198,0.560606061
translated_lofar_test_2x4.graphml,2368,595,512,525,2352,512,2375,481,520,188,220,1527,0.04468599,42,5.141489552,18,256,0.102777778
translated_chiles_two_6_copies.graphml,1192,203,252,263,1221,187,1200,208,225,38,140,883,0.220238095,13,5.320118104,24,157,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,28008,1802,4001,4038,31215,3599,28026,6209,1804,386,3467,24026,0.009946237,31,6.112084229,240,4494,0.010632184
translated_askap_hello.graphml,76,29,26,26,76,29,76,26,29,11,5,26,0.027027027,3,1.938461538,2,4,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,4490,609,795,797,5530,772,4450,964,619,287,559,3895,0.076131687,31,5.654426918,36,708,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,23473,1604,3508,3449,24037,3338,23472,4751,1669,556,2899,19942,0.014501274,31,6.129862666,189,3750,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,26383,1665,3939,3909,26573,3464,26387,6176,1664,443,3271,22807,0.01712963,23,5.757464123,216,4131,0.016313933
translated_dist_sagecal.graphml,2801,600,570,537,2546,600,2801,552,598,154,98,638,0.324561404,53,9.688247713,3,156,0.483660131
translated_askap_LoadVis.graphml,29,20,20,20,29,20,29,20,20,13,3,24,0.013513514,2,0.361111111,1,2,0.013513514
translated_test_grpby_gather.graphml,1018,160,206,202,1043,155,1043,207,168,11,154,1009,0.32173913,7,6.914496802,23,212,0.643478261
translated_chiles_two.graphml,618,182,173,173,598,146,630,163,192,14,76,453,0.44047619,13,4.649238992,12,82,0.560606061
translated_facet_img_8-8-4_copies.graphml,36801,2342,5417,5372,38245,4814,36767,8280,2344,304,4583,31649,0.007459677,31,6.109354064,320,5953,0.007974138
translated_mwa_gleam.graphml,1043,201,221,223,1058,184,1017,219,210,36,130,884,0.37,19,3.449138531,10,125,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,7219,538,1035,1001,7369,872,7198,1459,541,22,906,6261,0.036489152,8,5.508842186,156,1104,0.079059829
translated_lofar_nsm_2x4.graphml,2118,438,425,444,1717,346,2143,365,492,164,214,1436,0.050271739,42,3.685471064,16,220,0.115625
translated_chiles_simple.graphml,229,81,75,75,221,79,249,87,81,8,22,131,0.27027027,5,4.328244275,5,21,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,8202,676,1294,1306,8466,1127,8283,1666,703,297,983,6799,0.0578125,23,5.983546291,64,1235,0.055059524
translated_CALIB_12_copies.graphml,2466,314,400,411,2487,347,2413,434,306,27,324,2198,0.220238095,13,5.440501466,24,396,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1271,267,322,326,1316,284,1279,285,285,80,135,916,0.4625,23,5.812954876,8,163,0.44047619
translated_askap_dingo.graphml,646,109,146,146,531,126,648,118,109,15,59,360,0.770833333,12,4.928248588,8,66,0.925
translated_atca_minh_10-8_copies.graphml,1116,209,231,230,1084,231,1126,245,208,46,78,487,0.352380952,11,8.382956879,30,115,0.274074074
translated_lofar_test_4x4.graphml,3179,551,619,615,3166,602,3143,688,548,167,348,2261,0.023657289,42,5.443548018,34,416,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,1029,177,207,192,1012,158,1025,191,176,28,144,945,0.308333333,7,3.00026455,24,132,0.616666667
translated_chiles_two_8_copies.graphml,1362,239,320,317,1417,246,1356,288,261,63,184,1230,0.165178571,13,4.562177448,32,208,0.210227273
translated_lofar_std.graphml,1693,405,430,428,1721,285,1660,366,412,142,192,1237,0.120915033,33,5.19859876,18,224,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1962,368,437,430,1962,305,1956,406,373,144,247,1635,0.137037037,20,6.780923374,30,339,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,360,87,71,71,381,83,360,84,63,8,36,185,0.810810811,7,4.642792793,6,33,0.405405405
translated_askap_dingo_expanded.graphml,646,109,146,146,531,126,637,118,101,15,59,360,0.770833333,12,4.928248588,8,66,0.925
translated_lofar_test_8x8.graphml,8872,897,1497,1599,12696,1342,8912,1915,926,128,1202,8311,0.006187291,42,5.397016684,130,1468,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1740,339,294,294,1643,354,1740,296,339,99,59,360,0.216216216,50,10.42815443,2,91,0.770833333
translated_test_mk_grpby.graphml,1178,248,273,278,1053,241,1150,248,238,182,124,873,0.220238095,17,4.574280383,24,145,0.205555556
translated_lofar_cal.graphml,73,21,21,21,73,21,73,21,21,9,4,21,0.013513514,3,2.178571429,1,3,0.013513514
