name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1271,267,318,326,1316,284,1244,285,304,80,135,916,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_LoadParset.graphml,29,20,20,20,29,20,29,20,20,13,3,24,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,502,122,121,121,453,128,502,121,122,28,31,155,1.322580645,0.851351351,0.185678826,9,11,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,5821,531,851,892,5912,879,5840,1127,493,216,711,4889,1.264416315,0.061666667,0.167108989,80,17,0.061666667
translated_CALIB_6_copies.graphml,1245,211,254,260,1196,213,1244,236,208,45,162,1028,1.222222222,0.44047619,0.186446281,12,13,0.560606061
translated_lofar_test_2x4.graphml,2368,595,512,525,2352,512,2375,481,520,188,220,1527,1.163636364,0.04468599,0.190420279,18,42,0.102777778
translated_chiles_two_6_copies.graphml,1192,203,252,263,1221,187,1200,208,225,38,140,883,1.121428571,0.220238095,0.201802415,24,13,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,28008,1802,4001,4038,31215,3599,28026,6209,1804,386,3467,24026,1.296221517,0.009946237,0.164434287,240,31,0.010632184
translated_askap_hello.graphml,76,29,26,26,76,29,76,26,29,11,5,26,0.8,0.027027027,0.734126984,2,3,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,4490,609,795,797,5530,772,4450,964,619,287,559,3895,1.266547406,0.076131687,0.178714188,36,31,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,23473,1604,3508,3449,24037,3338,23472,4751,1669,556,2899,19942,1.2935495,0.014501274,0.166538885,189,31,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,26383,1665,3939,3909,26573,3464,26387,6176,1664,443,3271,22807,1.262916539,0.01712963,0.174083586,216,23,0.016313933
translated_dist_sagecal.graphml,2801,600,570,537,2546,600,2801,552,598,154,98,638,1.591836735,0.324561404,0.119072618,3,53,0.483660131
translated_askap_LoadVis.graphml,29,20,20,20,29,20,29,20,20,13,3,24,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_test_grpby_gather.graphml,1018,160,206,202,1043,155,1043,207,168,11,154,1009,1.376623377,0.32173913,0.14992703,23,7,0.643478261
translated_chiles_two.graphml,618,182,173,173,598,146,630,163,192,14,76,453,1.078947368,0.44047619,0.230282887,12,13,0.560606061
translated_facet_img_8-8-4_copies.graphml,36801,2342,5417,5372,38245,4814,36767,8280,2344,304,4583,31649,1.298930831,0.007459677,0.165731472,320,31,0.007974138
translated_mwa_gleam.graphml,1043,201,221,223,1058,184,1017,219,210,36,130,884,0.961538462,0.37,0.273856827,10,19,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,7219,538,1035,1001,7369,872,7198,1459,541,22,906,6261,1.218543046,0.036489152,0.185788346,156,8,0.079059829
translated_lofar_nsm_2x4.graphml,2118,438,425,444,1717,346,2143,365,492,164,214,1436,1.028037383,0.050271739,0.270390973,16,42,0.115625
translated_chiles_simple.graphml,229,81,75,75,221,79,249,87,81,8,22,131,0.954545455,0.27027027,0.220458554,5,5,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,8202,676,1294,1306,8466,1127,8283,1666,703,297,983,6799,1.256358087,0.0578125,0.167886976,64,23,0.055059524
translated_CALIB_12_copies.graphml,2466,314,400,411,2487,347,2413,434,306,27,324,2198,1.222222222,0.220238095,0.18389021,24,13,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1271,267,322,326,1316,284,1279,285,285,80,135,916,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_dingo.graphml,646,109,146,146,531,126,648,118,109,15,59,360,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_atca_minh_10-8_copies.graphml,1116,209,231,230,1084,231,1126,245,208,46,78,487,1.474358974,0.352380952,0.123698714,30,11,0.274074074
translated_lofar_test_4x4.graphml,3179,551,619,615,3166,602,3143,688,548,167,348,2261,1.195402299,0.023657289,0.19499731,34,42,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,1029,177,207,192,1012,158,1025,191,176,28,144,945,0.916666667,0.308333333,0.340357993,24,7,0.616666667
translated_chiles_two_8_copies.graphml,1362,239,320,317,1417,246,1356,288,261,63,184,1230,1.130434783,0.165178571,0.220619228,32,13,0.210227273
translated_lofar_std.graphml,1693,405,430,428,1721,285,1660,366,412,142,192,1237,1.166666667,0.120915033,0.195158615,18,33,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1962,368,437,430,1962,305,1956,406,373,144,247,1635,1.372469636,0.137037037,0.151170629,30,20,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,360,87,71,71,381,83,360,84,63,8,36,185,0.916666667,0.810810811,0.223537402,6,7,0.405405405
translated_askap_dingo_expanded.graphml,646,109,146,146,531,126,637,118,101,15,59,360,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_lofar_test_8x8.graphml,8872,897,1497,1599,12696,1342,8912,1915,926,128,1202,8311,1.221297837,0.006187291,0.184730194,130,42,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1740,339,294,294,1643,354,1740,296,339,99,59,360,1.542372881,0.216216216,0.103352687,2,50,0.770833333
translated_test_mk_grpby.graphml,1178,248,273,278,1053,241,1150,248,238,182,124,873,1.169354839,0.220238095,0.208096128,24,17,0.205555556
translated_lofar_cal.graphml,73,21,21,21,73,21,73,21,21,9,4,21,0.75,0.013513514,0.546448087,1,3,0.013513514
translated_atca_minh.graphml,627,149,173,173,627,165,627,183,148,37,45,302,1.4,0.704761905,0.133155792,15,11,0.548148148
translated_atca_attila_12_copies.graphml,1313,279,245,256,884,221,1290,239,272,108,96,643,1.385416667,0.186868687,0.144718785,36,30,0.073412698
translated_test_seq_gather.graphml,1924,341,336,336,1711,327,1924,308,357,66,74,445,1.310810811,0.864864865,0.152146136,4,25,0.804347826
translated_atca_attila_4_copies.graphml,1225,267,215,215,693,205,1225,163,267,92,56,364,1.232142857,0.560606061,0.167854467,12,30,0.220238095
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,8898,723,1369,1345,9247,1177,8925,1820,722,190,1095,7481,1.463926941,0.028549383,0.130665964,144,19,0.030228758
