name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,13153,895,1927,1955,13264,1839,13162,2915,864,151,1615,11298,1.473065015,0.019032922,0.123735938,216,20,0.019032922
translated_chiles_two_dev1.graphml,581,143,156,129,585,148,581,140,143,19,78,487,1.102564103,0.474358974,0.232027992,12,8,0.972972973
translated_cont_img.graphml,4440,680,644,644,3307,414,4440,392,680,230,148,999,1.195945946,0.616666667,0.196126283,4,97,0.194736842
translated_CALIB_8_copies.graphml,1615,272,322,322,1621,248,1650,315,243,20,216,1465,1.222222222,0.330357143,0.183618764,16,13,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,9553,993,1062,1033,9460,778,9679,954,961,602,355,2512,1.630985915,0.1,0.095802217,10,50,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,581,163,133,133,314,95,581,68,163,62,26,175,1,0.040540541,0.356617647,3,23,0.851351351
translated_atca_minh_4-5_copies.graphml,703,181,181,177,762,184,703,167,166,51,42,275,1.380952381,0.880952381,0.144827586,12,11,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,3488,312,520,511,3513,433,3485,665,311,86,428,2956,1.196261682,0.079059829,0.184508727,72,12,0.102777778
translated_CALIB.graphml,827,171,203,201,834,180,819,194,180,22,108,749,1.222222222,0.660714286,0.187700535,8,13,0.840909091
translated_lofar_test_4x8.graphml,5103,733,999,939,5292,846,5168,1339,709,192,690,4812,1.2,0.012187088,0.186205745,66,42,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5383,812,791,796,5232,806,5377,740,822,368,207,1433,1.618357488,0.166666667,0.10829436,6,50,0.256944444
translated_chiles_two_12_copies.graphml,2250,308,397,390,2339,310,2226,382,315,103,272,1853,1.139705882,0.110119048,0.206957493,48,13,0.140151515
translated_chiles_two_dev2.graphml,4122,564,720,731,5164,750,4186,988,583,276,499,3383,1.268537074,0.076131687,0.164885001,36,31,0.070881226
translated_mwa_gleam_simple.graphml,608,134,151,151,588,122,603,128,134,10,72,464,0.916666667,0.616666667,0.261405436,12,7,0.810810811
translated_facet_img_2-2-2_copies.graphml,1629,365,407,457,1589,327,1600,395,369,283,191,1282,1.230366492,0.228395062,0.193612462,12,31,0.212643678
translated_dist_sagecal_sleep.graphml,7016,823,875,849,6781,766,6992,772,830,350,281,1891,1.62633452,0.125,0.109890567,8,50,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,1977,245,306,308,1943,244,1943,351,247,14,244,1653,1.163934426,0.142307692,0.192770704,40,8,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,743,151,151,176,751,149,723,156,149,14,96,643,0.916666667,0.4625,0.315097403,16,7,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,16692,1126,2518,2512,16980,2332,16778,3597,1137,439,2068,14181,1.259187621,0.027407407,0.171961239,135,23,0.026102293
translated_atca_attila_8_copies.graphml,1331,268,233,233,1270,233,1332,237,157,88,76,453,1.328947368,0.28030303,0.142837767,24,30,0.110119048
translated_atca_attila.graphml,1183,235,211,211,634,152,731,170,230,68,66,408,1.287878788,0.373737374,0.168583345,18,30,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3666,600,635,607,3464,572,3666,580,600,210,133,862,1.601503759,0.25,0.108073738,4,50,0.385416667
translated_dist_sagecal_sleep_2_copies.graphml,2423,595,443,450,2409,410,2423,423,515,203,96,643,1.583333333,0.333333333,0.112199775,3,50,0.513888889
translated_facet_img.graphml,5196,709,950,972,6593,959,5152,1265,691,275,655,4574,1.273282443,0.049731183,0.178642269,48,31,0.05316092
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,5701,566,956,954,5804,827,5757,1348,583,132,699,4810,1.406294707,0.045679012,0.134219903,90,20,0.045679012
translated_atca_attila_3_copies.graphml,1225,253,231,231,694,187,1225,173,248,78,51,320,1.196078431,0.747474747,0.207215722,9,30,0.293650794
translated_chiles_two_dev1_4-8_copies.graphml,5117,386,711,717,5229,707,5161,1033,397,32,634,4247,1.205047319,0.052706553,0.190446587,108,8,0.114197531
