name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,2279,449,535,488,2331,445,2328,507,441,191,135,928,0.4625,23,5.737787356,8,163,0.44047619
translated_askap_LoadParset.graphml,12,11,11,11,12,11,12,11,11,11,3,11,0.013513514,2,0.787878788,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,523,162,194,194,427,144,562,185,158,93,31,222,0.851351351,11,5.385643708,9,41,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,11530,1626,2069,2074,11571,2184,11484,2386,1608,518,711,4830,0.061666667,17,5.984118539,80,899,0.061666667
translated_CALIB_6_copies.graphml,2411,409,491,495,2439,406,2438,512,446,83,162,1128,0.44047619,13,5.363475177,12,198,0.560606061
translated_lofar_test_2x4.graphml,3395,699,849,851,3429,700,3410,782,719,405,220,1495,0.04468599,42,5.251541502,18,256,0.102777778
translated_chiles_two_6_copies.graphml,2275,394,463,499,2312,408,2282,470,393,92,140,948,0.220238095,13,4.955342074,24,157,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,55957,7289,10009,9988,58107,10154,55911,12164,7329,501,3467,24147,0.009946237,31,6.081456731,240,4494,0.010632184
translated_askap_hello.graphml,72,34,32,34,72,34,72,34,32,19,5,37,0.027027027,3,1.362162162,2,4,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,8839,1320,1721,1636,9579,1581,8813,2013,1299,609,559,3936,0.076131687,31,5.595526637,36,708,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,46821,6333,8482,8508,47049,8617,47214,10115,6282,1058,2899,20358,0.014501274,31,6.004603659,189,3750,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,52574,7226,9696,9773,52377,9572,52563,11264,7130,861,3271,22859,0.01712963,23,5.744366956,216,4131,0.016313933
translated_dist_sagecal.graphml,3026,644,635,641,2915,579,3026,597,644,343,98,736,0.324561404,53,8.398236469,3,156,0.483660131
translated_askap_LoadVis.graphml,12,11,11,11,12,11,12,11,11,11,3,11,0.013513514,2,0.787878788,1,2,0.013513514
translated_test_grpby_gather.graphml,2039,344,426,423,2059,371,2051,419,366,40,154,1046,0.32173913,7,6.669911351,23,212,0.643478261
translated_chiles_two.graphml,1072,240,283,278,1066,233,1110,246,254,51,76,485,0.44047619,13,4.342485079,12,82,0.560606061
translated_facet_img_8-8-4_copies.graphml,73475,9964,13414,13369,75926,13539,73600,16180,9924,308,4583,32045,0.007459677,31,6.033856975,320,5953,0.007974138
translated_mwa_gleam.graphml,2008,363,394,405,2017,345,2021,408,372,65,130,835,0.37,19,3.651543068,10,125,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,14425,2037,2644,2641,14703,2619,14476,3184,2020,61,906,6408,0.036489152,8,5.382468934,156,1104,0.079059829
translated_lofar_nsm_2x4.graphml,3071,641,753,728,3064,606,3084,717,603,195,214,1431,0.050271739,42,3.698348322,16,220,0.115625
translated_chiles_simple.graphml,351,87,78,88,324,95,351,78,87,21,22,125,0.27027027,5,4.536,5,21,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,16261,2268,2996,2965,16476,2913,16351,3297,2225,457,983,6830,0.0578125,23,5.956388174,64,1235,0.055059524
translated_CALIB_12_copies.graphml,4833,751,947,963,4779,861,4801,978,727,56,324,2199,0.220238095,13,5.438027386,24,396,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,2279,449,551,488,2331,445,2323,507,416,191,135,928,0.4625,23,5.737787356,8,163,0.44047619
translated_askap_dingo.graphml,1762,219,212,216,1422,206,1762,208,212,52,59,388,0.770833333,12,4.572601782,8,66,0.925
translated_atca_minh_10-8_copies.graphml,1487,270,290,297,1470,285,1482,337,266,101,78,505,0.352380952,11,8.084158416,30,115,0.274074074
translated_lofar_test_4x4.graphml,5015,849,1103,1092,5153,933,5050,1158,873,338,348,2400,0.023657289,42,5.128275862,34,416,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,2032,359,439,425,2055,395,2039,435,366,26,144,965,0.308333333,7,2.938082902,24,132,0.616666667
translated_chiles_two_8_copies.graphml,2654,492,582,576,2741,483,2665,558,490,118,184,1238,0.165178571,13,4.532696495,32,208,0.210227273
translated_lofar_std.graphml,2721,557,654,678,2687,446,2729,570,535,212,192,1255,0.120915033,33,5.124037185,18,224,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,3793,591,789,782,3850,575,3803,731,618,320,247,1676,0.137037037,20,6.615041597,30,339,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,568,110,129,129,581,108,585,118,108,21,36,192,0.810810811,7,4.473524306,6,33,0.405405405
translated_askap_dingo_expanded.graphml,1762,219,212,216,1422,206,1762,208,227,52,59,388,0.770833333,12,4.572601782,8,66,0.925
translated_lofar_test_8x8.graphml,17638,2655,3613,3552,18263,3331,17668,3995,2608,217,1202,8286,0.006187291,42,5.413300224,130,1468,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1847,375,368,368,1794,357,1847,381,375,237,59,388,0.216216216,50,9.675607199,2,91,0.770833333
translated_test_mk_grpby.graphml,1936,389,420,411,1976,385,1935,428,380,325,124,831,0.220238095,17,4.805471449,24,145,0.205555556
translated_lofar_cal.graphml,82,30,25,25,82,30,82,25,30,14,4,25,0.013513514,3,1.83,1,3,0.013513514
translated_atca_minh.graphml,753,170,206,201,745,171,752,197,170,77,45,280,0.704761905,11,7.51,15,63,0.548148148
translated_atca_attila_12_copies.graphml,1527,326,336,354,1529,353,1555,369,342,213,96,647,0.186868687,30,6.909952988,36,133,0.073412698
translated_test_seq_gather.graphml,2103,413,386,386,2028,385,2103,379,406,131,74,494,0.864864865,25,6.572628296,4,97,0.804347826
translated_atca_attila_4_copies.graphml,1157,272,269,269,1123,254,1165,273,289,172,56,376,0.560606061,30,5.957541793,12,69,0.220238095
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,17774,2533,3230,3312,17793,3265,17851,3806,2542,510,1095,7823,0.028549383,19,7.653102402,144,1603,0.030228758
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,26152,3462,4689,4729,26276,4577,26195,5815,3515,292,1615,10976,0.019032922,20,8.081726412,216,2379,0.019032922
translated_chiles_two_dev1.graphml,1157,212,241,245,1165,201,1151,271,210,27,78,505,0.474358974,8,4.309824829,12,86,0.972972973
translated_cont_img.graphml,4476,727,699,699,2890,513,4476,584,727,407,148,1010,0.616666667,97,5.098755686,4,177,0.194736842
translated_CALIB_8_copies.graphml,3265,543,632,635,3295,548,3280,650,539,56,216,1507,0.330357143,13,5.446066504,16,264,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,10108,1217,1345,1264,9475,1252,10071,1344,1205,929,355,2363,0.1,50,10.43817182,10,579,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,587,198,174,174,455,152,587,141,198,120,26,194,0.040540541,23,2.804123711,3,26,0.851351351
translated_atca_minh_4-5_copies.graphml,828,192,199,199,843,182,803,204,192,66,42,256,0.880952381,11,6.904761905,12,58,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,7015,945,1240,1255,6919,1098,6915,1323,910,114,428,2940,0.079059829,12,5.419797826,72,512,0.102777778
translated_CALIB.graphml,1629,309,344,334,1617,311,1625,355,301,56,108,780,0.660714286,13,5.327635328,8,132,0.840909091
translated_lofar_test_4x8.graphml,10296,1650,2115,2133,10288,1909,10224,2484,1650,371,690,4683,0.012187088,42,5.370403587,66,828,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5726,895,932,972,5613,882,5727,968,914,661,207,1438,0.166666667,50,9.23409123,6,335,0.256944444
translated_chiles_two_12_copies.graphml,4364,596,845,811,4429,660,4334,820,615,203,272,1853,0.110119048,13,4.831910098,48,310,0.140151515
translated_chiles_two_dev2.graphml,8184,1150,1457,1494,8874,1406,8149,1772,1152,544,499,3415,0.076131687,31,6.064833034,36,633,0.070881226
translated_mwa_gleam_simple.graphml,1171,208,224,228,1195,217,1157,220,203,26,72,456,0.616666667,7,3.825475146,12,66,0.810810811
translated_facet_img_2-2-2_copies.graphml,2937,590,718,712,2945,602,2906,736,599,583,191,1334,0.228395062,31,5.164956789,12,235,0.212643678
translated_dist_sagecal_sleep.graphml,7616,1049,1108,1120,7558,1103,7586,1136,1102,782,281,1992,0.125,50,9.099962126,8,457,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,3812,522,680,697,3819,568,3766,682,528,36,244,1600,0.142307692,8,5.187510246,40,284,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,1442,274,311,305,1437,277,1454,264,277,45,96,647,0.4625,7,3.173621844,16,88,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,33661,4609,6128,6193,33740,6093,33299,7919,4613,743,2068,14387,0.027407407,23,5.815263995,135,2604,0.026102293
translated_atca_attila_8_copies.graphml,1294,271,288,288,1243,276,1298,307,278,178,76,485,0.28030303,30,7.000949539,24,101,0.110119048
translated_atca_attila.graphml,1131,277,313,304,1069,221,1235,301,277,158,66,444,0.373737374,30,5.931784057,18,85,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3888,717,697,722,3883,617,3904,695,734,438,133,931,0.25,50,9.252941699,4,213,0.385416667
translated_dist_sagecal_sleep_2_copies.graphml,2648,534,572,567,2500,524,2648,586,534,334,96,647,0.333333333,50,8.912673879,3,152,0.513888889
translated_facet_img.graphml,10174,1472,1955,1969,11120,1976,10140,2412,1524,437,655,4587,0.049731183,31,5.59777932,48,834,0.05316092
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,11128,1490,2002,2065,11286,1844,11162,2446,1505,531,699,4652,0.045679012,20,7.450459876,90,983,0.045679012
translated_atca_attila_3_copies.graphml,1306,264,271,271,1306,282,1306,266,264,227,51,374,0.747474747,30,4.825888644,9,61,0.293650794
translated_chiles_two_dev1_4-8_copies.graphml,10196,1445,1848,1873,10219,1745,10232,2067,1450,66,634,4427,0.052706553,8,5.250816078,108,764,0.114197531
