name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,26152,3462,4689,4729,26276,4577,26195,5815,3515,292,1615,10976,1.473065015,0.019032922,0.123735938,216,20,0.019032922
translated_chiles_two_dev1.graphml,1157,212,241,245,1165,201,1151,271,210,27,78,505,1.102564103,0.474358974,0.232027992,12,8,0.972972973
translated_cont_img.graphml,4476,727,699,699,2890,513,4476,584,727,407,148,1010,1.195945946,0.616666667,0.196126283,4,97,0.194736842
translated_CALIB_8_copies.graphml,3265,543,632,635,3295,548,3280,650,539,56,216,1507,1.222222222,0.330357143,0.183618764,16,13,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,10108,1217,1345,1264,9475,1252,10071,1344,1205,929,355,2363,1.630985915,0.1,0.095802217,10,50,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,587,198,174,174,455,152,587,141,198,120,26,194,1,0.040540541,0.356617647,3,23,0.851351351
translated_atca_minh_4-5_copies.graphml,828,192,199,199,843,182,803,204,192,66,42,256,1.380952381,0.880952381,0.144827586,12,11,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,7015,945,1240,1255,6919,1098,6915,1323,910,114,428,2940,1.196261682,0.079059829,0.184508727,72,12,0.102777778
translated_CALIB.graphml,1629,309,344,334,1617,311,1625,355,301,56,108,780,1.222222222,0.660714286,0.187700535,8,13,0.840909091
translated_lofar_test_4x8.graphml,10296,1650,2115,2133,10288,1909,10224,2484,1650,371,690,4683,1.2,0.012187088,0.186205745,66,42,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5726,895,932,972,5613,882,5727,968,914,661,207,1438,1.618357488,0.166666667,0.10829436,6,50,0.256944444
translated_chiles_two_12_copies.graphml,4364,596,845,811,4429,660,4334,820,615,203,272,1853,1.139705882,0.110119048,0.206957493,48,13,0.140151515
translated_chiles_two_dev2.graphml,8184,1150,1457,1494,8874,1406,8149,1772,1152,544,499,3415,1.268537074,0.076131687,0.164885001,36,31,0.070881226
translated_mwa_gleam_simple.graphml,1171,208,224,228,1195,217,1157,220,203,26,72,456,0.916666667,0.616666667,0.261405436,12,7,0.810810811
translated_facet_img_2-2-2_copies.graphml,2937,590,718,712,2945,602,2906,736,599,583,191,1334,1.230366492,0.228395062,0.193612462,12,31,0.212643678
translated_dist_sagecal_sleep.graphml,7616,1049,1108,1120,7558,1103,7586,1136,1102,782,281,1992,1.62633452,0.125,0.109890567,8,50,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,3812,522,680,697,3819,568,3766,682,528,36,244,1600,1.163934426,0.142307692,0.192770704,40,8,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,1442,274,311,305,1437,277,1454,264,277,45,96,647,0.916666667,0.4625,0.315097403,16,7,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,33661,4609,6128,6193,33740,6093,33299,7919,4613,743,2068,14387,1.259187621,0.027407407,0.171961239,135,23,0.026102293
translated_atca_attila_8_copies.graphml,1294,271,288,288,1243,276,1298,307,278,178,76,485,1.328947368,0.28030303,0.142837767,24,30,0.110119048
translated_atca_attila.graphml,1131,277,313,304,1069,221,1235,301,277,158,66,444,1.287878788,0.373737374,0.168583345,18,30,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3888,717,697,722,3883,617,3904,695,734,438,133,931,1.601503759,0.25,0.108073738,4,50,0.385416667
translated_dist_sagecal_sleep_2_copies.graphml,2648,534,572,567,2500,524,2648,586,534,334,96,647,1.583333333,0.333333333,0.112199775,3,50,0.513888889
translated_facet_img.graphml,10174,1472,1955,1969,11120,1976,10140,2412,1524,437,655,4587,1.273282443,0.049731183,0.178642269,48,31,0.05316092
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,11128,1490,2002,2065,11286,1844,11162,2446,1505,531,699,4652,1.406294707,0.045679012,0.134219903,90,20,0.045679012
translated_atca_attila_3_copies.graphml,1306,264,271,271,1306,282,1306,266,264,227,51,374,1.196078431,0.747474747,0.207215722,9,30,0.293650794
translated_chiles_two_dev1_4-8_copies.graphml,10196,1445,1848,1873,10219,1745,10232,2067,1450,66,634,4427,1.205047319,0.052706553,0.190446587,108,8,0.114197531
