name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,2279,449,535,488,2331,445,2328,507,441,191,135,928,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_LoadParset.graphml,12,11,11,11,12,11,12,11,11,11,3,11,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,523,162,194,194,427,144,562,185,158,93,31,222,1.322580645,0.851351351,0.185678826,9,11,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,11530,1626,2069,2074,11571,2184,11484,2386,1608,518,711,4830,1.264416315,0.061666667,0.167108989,80,17,0.061666667
translated_CALIB_6_copies.graphml,2411,409,491,495,2439,406,2438,512,446,83,162,1128,1.222222222,0.44047619,0.186446281,12,13,0.560606061
translated_lofar_test_2x4.graphml,3395,699,849,851,3429,700,3410,782,719,405,220,1495,1.163636364,0.04468599,0.190420279,18,42,0.102777778
translated_chiles_two_6_copies.graphml,2275,394,463,499,2312,408,2282,470,393,92,140,948,1.121428571,0.220238095,0.201802415,24,13,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,55957,7289,10009,9988,58107,10154,55911,12164,7329,501,3467,24147,1.296221517,0.009946237,0.164434287,240,31,0.010632184
translated_askap_hello.graphml,72,34,32,34,72,34,72,34,32,19,5,37,0.8,0.027027027,0.734126984,2,3,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,8839,1320,1721,1636,9579,1581,8813,2013,1299,609,559,3936,1.266547406,0.076131687,0.178714188,36,31,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,46821,6333,8482,8508,47049,8617,47214,10115,6282,1058,2899,20358,1.2935495,0.014501274,0.166538885,189,31,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,52574,7226,9696,9773,52377,9572,52563,11264,7130,861,3271,22859,1.262916539,0.01712963,0.174083586,216,23,0.016313933
translated_dist_sagecal.graphml,3026,644,635,641,2915,579,3026,597,644,343,98,736,1.591836735,0.324561404,0.119072618,3,53,0.483660131
translated_askap_LoadVis.graphml,12,11,11,11,12,11,12,11,11,11,3,11,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_test_grpby_gather.graphml,2039,344,426,423,2059,371,2051,419,366,40,154,1046,1.376623377,0.32173913,0.14992703,23,7,0.643478261
translated_chiles_two.graphml,1072,240,283,278,1066,233,1110,246,254,51,76,485,1.078947368,0.44047619,0.230282887,12,13,0.560606061
translated_facet_img_8-8-4_copies.graphml,73475,9964,13414,13369,75926,13539,73600,16180,9924,308,4583,32045,1.298930831,0.007459677,0.165731472,320,31,0.007974138
translated_mwa_gleam.graphml,2008,363,394,405,2017,345,2021,408,372,65,130,835,0.961538462,0.37,0.273856827,10,19,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,14425,2037,2644,2641,14703,2619,14476,3184,2020,61,906,6408,1.218543046,0.036489152,0.185788346,156,8,0.079059829
translated_lofar_nsm_2x4.graphml,3071,641,753,728,3064,606,3084,717,603,195,214,1431,1.028037383,0.050271739,0.270390973,16,42,0.115625
translated_chiles_simple.graphml,351,87,78,88,324,95,351,78,87,21,22,125,0.954545455,0.27027027,0.220458554,5,5,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,16261,2268,2996,2965,16476,2913,16351,3297,2225,457,983,6830,1.256358087,0.0578125,0.167886976,64,23,0.055059524
translated_CALIB_12_copies.graphml,4833,751,947,963,4779,861,4801,978,727,56,324,2199,1.222222222,0.220238095,0.18389021,24,13,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,2279,449,551,488,2331,445,2323,507,416,191,135,928,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_dingo.graphml,1762,219,212,216,1422,206,1762,208,212,52,59,388,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_atca_minh_10-8_copies.graphml,1487,270,290,297,1470,285,1482,337,266,101,78,505,1.474358974,0.352380952,0.123698714,30,11,0.274074074
translated_lofar_test_4x4.graphml,5015,849,1103,1092,5153,933,5050,1158,873,338,348,2400,1.195402299,0.023657289,0.19499731,34,42,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,2032,359,439,425,2055,395,2039,435,366,26,144,965,0.916666667,0.308333333,0.340357993,24,7,0.616666667
translated_chiles_two_8_copies.graphml,2654,492,582,576,2741,483,2665,558,490,118,184,1238,1.130434783,0.165178571,0.220619228,32,13,0.210227273
translated_lofar_std.graphml,2721,557,654,678,2687,446,2729,570,535,212,192,1255,1.166666667,0.120915033,0.195158615,18,33,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,3793,591,789,782,3850,575,3803,731,618,320,247,1676,1.372469636,0.137037037,0.151170629,30,20,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,568,110,129,129,581,108,585,118,108,21,36,192,0.916666667,0.810810811,0.223537402,6,7,0.405405405
translated_askap_dingo_expanded.graphml,1762,219,212,216,1422,206,1762,208,227,52,59,388,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_lofar_test_8x8.graphml,17638,2655,3613,3552,18263,3331,17668,3995,2608,217,1202,8286,1.221297837,0.006187291,0.184730194,130,42,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1847,375,368,368,1794,357,1847,381,375,237,59,388,1.542372881,0.216216216,0.103352687,2,50,0.770833333
translated_test_mk_grpby.graphml,1936,389,420,411,1976,385,1935,428,380,325,124,831,1.169354839,0.220238095,0.208096128,24,17,0.205555556
translated_lofar_cal.graphml,82,30,25,25,82,30,82,25,30,14,4,25,0.75,0.013513514,0.546448087,1,3,0.013513514
translated_atca_minh.graphml,753,170,206,201,745,171,752,197,170,77,45,280,1.4,0.704761905,0.133155792,15,11,0.548148148
translated_atca_attila_12_copies.graphml,1527,326,336,354,1529,353,1555,369,342,213,96,647,1.385416667,0.186868687,0.144718785,36,30,0.073412698
translated_test_seq_gather.graphml,2103,413,386,386,2028,385,2103,379,406,131,74,494,1.310810811,0.864864865,0.152146136,4,25,0.804347826
translated_atca_attila_4_copies.graphml,1157,272,269,269,1123,254,1165,273,289,172,56,376,1.232142857,0.560606061,0.167854467,12,30,0.220238095
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,17774,2533,3230,3312,17793,3265,17851,3806,2542,510,1095,7823,1.463926941,0.028549383,0.130665964,144,19,0.030228758
