name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1283,532,492,502,1152,440,1288,399,531,190,135,3086,0.4625,23,1.49693478313,8,163,0.440476190476
translated_askap_LoadParset.graphml,53,19,19,19,53,19,53,19,19,10,3,44,0.0135135135135,2,0.772727272727,1,2,0.0135135135135
translated_atca_minh_3-2_copies.graphml,823,264,224,223,823,264,823,223,264,79,31,645,0.851351351351,11,2.271967992,9,41,0.913580246914
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,4628,625,1073,1024,4825,1060,4557,1889,639,475,711,17022,0.0616666666667,17,1.62676050403,80,899,0.0616666666667
translated_CALIB_6_copies.graphml,977,354,364,360,975,305,950,328,354,77,162,3504,0.440476190476,13,1.57382039574,12,198,0.560606060606
translated_lofar_test_2x4.graphml,2793,987,874,870,2451,799,2841,764,1032,416,220,5207,0.0446859903382,42,1.43113640728,18,256,0.102777777778
translated_chiles_two_6_copies.graphml,1167,373,346,380,1002,328,1099,301,354,115,140,3129,0.220238095238,13,1.50849883578,24,157,0.280303030303
translated_chiles_two_dev2_6-8-4_copies.graphml,21696,2499,4532,4584,27646,3905,21658,10993,2482,883,3467,84481,0.00994623655914,31,1.73899989978,240,4494,0.010632183908
translated_askap_hello.graphml,149,52,18,22,66,46,150,18,52,4,5,59,0.027027027027,3,1.36949152542,2,4,0.027027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,3876,849,1019,1037,5114,1060,4158,1420,849,583,559,13411,0.0761316872428,31,1.7367688314,36,708,0.0708812260536
translated_chiles_two_dev2_3-6-9_copies.graphml,18262,2213,3919,3846,20461,3580,18227,9150,2220,807,2899,70247,0.0145012737605,31,1.74031730436,189,3750,0.013501185915
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,20525,2340,4456,4436,20705,4020,20513,9615,2321,1735,3271,79407,0.0171296296296,23,1.65576983228,216,4131,0.0163139329806
translated_dist_sagecal.graphml,3261,1252,1044,1034,3374,1117,3261,953,1249,423,98,2240,0.324561403509,53,2.89870626822,3,156,0.483660130719
translated_askap_LoadVis.graphml,53,19,19,19,53,19,53,19,19,10,3,44,0.0135135135135,2,0.772727272727,1,2,0.0135135135135
translated_test_grpby_gather.graphml,891,259,295,289,894,264,877,264,255,29,154,3492,0.321739130435,7,2.29121851802,23,212,0.64347826087
translated_chiles_two.graphml,779,307,259,257,672,275,659,233,284,64,76,1664,0.440476190476,13,1.33636449899,12,82,0.560606060606
