name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_lofar_nsm_2x4.graphml,1954,468,390,393,1470,287,1975,336,434,62,214,1416,1.028037383,0.050271739,0.270390973,16,42,0.115625
translated_chiles_simple.graphml,212,75,72,72,199,77,212,77,75,17,22,121,0.954545455,0.27027027,0.220458554,5,5,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,6592,548,1043,1015,6860,931,6667,1260,551,214,983,6663,1.256358087,0.0578125,0.167886976,64,23,0.055059524
translated_CALIB_12_copies.graphml,1956,266,336,345,1981,252,1957,376,277,14,324,2227,1.222222222,0.220238095,0.18389021,24,13,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1266,293,281,304,1014,212,1282,261,293,68,135,943,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_dingo.graphml,476,129,135,144,409,139,482,146,143,20,59,393,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_atca_minh_10-8_copies.graphml,1097,225,226,214,1086,230,1098,233,225,51,78,523,1.474358974,0.352380952,0.123698714,30,11,0.274074074
translated_lofar_test_4x4.graphml,2829,515,551,544,2779,427,2792,466,495,150,348,2290,1.195402299,0.023657289,0.19499731,34,42,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,839,160,160,163,829,147,841,177,148,13,144,910,0.916666667,0.308333333,0.340357993,24,7,0.616666667
translated_chiles_two_8_copies.graphml,1140,217,236,267,1131,200,1154,258,225,55,184,1215,1.130434783,0.165178571,0.220619228,32,13,0.210227273
translated_lofar_std.graphml,1463,343,359,378,1461,286,1453,336,343,101,192,1280,1.166666667,0.120915033,0.195158615,18,33,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1975,318,374,350,1592,287,1929,334,327,137,247,1614,1.372469636,0.137037037,0.151170629,30,20,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,356,77,74,74,380,77,373,74,77,12,36,243,0.916666667,0.810810811,0.223537402,6,7,0.405405405
translated_askap_dingo_expanded.graphml,476,129,148,144,409,139,472,146,129,20,59,393,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_lofar_test_8x8.graphml,7319,704,1275,1260,7423,970,7351,1544,733,92,1202,8193,1.221297837,0.006187291,0.184730194,130,42,0.014230769
translated_dist_sagecal_sleep_1_copies.graphml,1800,394,329,329,1583,337,1800,299,394,94,59,393,1.542372881,0.216216216,0.103352687,2,50,0.770833333
translated_test_mk_grpby.graphml,992,210,268,232,941,155,969,182,190,123,124,810,1.169354839,0.220238095,0.208096128,24,17,0.205555556
translated_lofar_cal.graphml,74,22,19,19,74,22,74,19,22,3,4,19,0.75,0.013513514,0.546448087,1,3,0.013513514
translated_atca_minh.graphml,632,189,169,169,385,160,632,174,188,38,45,303,1.4,0.704761905,0.133155792,15,11,0.548148148
translated_atca_attila_12_copies.graphml,1289,249,246,255,772,142,1269,193,243,77,96,569,1.385416667,0.186868687,0.144718785,36,30,0.073412698
translated_test_seq_gather.graphml,1678,371,338,354,1702,305,1709,295,371,50,74,491,1.310810811,0.864864865,0.152146136,4,25,0.804347826
translated_atca_attila_4_copies.graphml,1211,259,175,172,768,217,1211,179,271,65,56,330,1.232142857,0.560606061,0.167854467,12,30,0.220238095
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,7138,522,1041,1064,7564,887,7134,1707,523,154,1095,7385,1.463926941,0.028549383,0.130665964,144,19,0.030228758
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,10516,647,1502,1458,11973,1196,10489,2433,627,142,1615,10989,1.473065015,0.019032922,0.123735938,216,20,0.019032922
translated_chiles_two_dev1.graphml,472,127,137,139,499,138,499,111,131,11,78,523,1.102564103,0.474358974,0.232027992,12,8,0.972972973
translated_cont_img.graphml,3526,733,571,645,3125,432,3526,399,691,179,148,916,1.195945946,0.616666667,0.196126283,4,97,0.194736842
translated_CALIB_8_copies.graphml,1304,212,286,278,1297,201,1294,268,229,19,216,1434,1.222222222,0.330357143,0.183618764,16,13,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,9472,880,930,882,9004,825,9459,810,890,370,355,2450,1.630985915,0.1,0.095802217,10,50,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,552,132,116,116,394,89,552,89,132,33,26,155,1,0.040540541,0.356617647,3,23,0.851351351
translated_atca_minh_4-5_copies.graphml,737,169,169,168,737,150,737,191,156,22,42,258,1.380952381,0.880952381,0.144827586,12,11,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,2816,264,438,428,2894,326,2803,530,276,23,428,2805,1.196261682,0.079059829,0.184508727,72,12,0.102777778
translated_CALIB.graphml,660,178,181,190,662,165,670,157,153,18,108,690,1.222222222,0.660714286,0.187700535,8,13,0.840909091
translated_lofar_test_4x8.graphml,4297,635,780,799,4521,667,4289,908,633,113,690,4662,1.2,0.012187088,0.186205745,66,42,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5377,775,729,734,5003,665,5377,641,775,279,207,1398,1.618357488,0.166666667,0.10829436,6,50,0.256944444
translated_chiles_two_12_copies.graphml,1756,278,342,329,2024,256,1779,305,267,81,272,1822,1.139705882,0.110119048,0.206957493,48,13,0.140151515
translated_chiles_two_dev2.graphml,3410,511,639,642,4308,561,3450,799,533,211,499,3401,1.268537074,0.076131687,0.164885001,36,31,0.070881226
translated_mwa_gleam_simple.graphml,495,106,126,126,500,94,484,112,106,15,72,444,0.916666667,0.616666667,0.261405436,12,7,0.810810811
translated_facet_img_2-2-2_copies.graphml,1655,355,384,349,1321,299,1588,352,356,220,191,1266,1.230366492,0.228395062,0.193612462,12,31,0.212643678
translated_dist_sagecal_sleep.graphml,7014,720,781,765,6283,572,7017,682,754,340,281,1967,1.62633452,0.125,0.109890567,8,50,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,1589,198,274,279,1597,196,1572,273,218,13,244,1632,1.163934426,0.142307692,0.192770704,40,8,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,585,119,136,136,586,111,591,145,117,17,96,569,0.916666667,0.4625,0.315097403,16,7,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,13383,750,1865,1852,13640,1705,13401,3205,762,340,2068,14159,1.259187621,0.027407407,0.171961239,135,23,0.026102293
translated_atca_attila_8_copies.graphml,1337,272,257,243,726,212,1252,225,275,79,76,530,1.328947368,0.28030303,0.142837767,24,30,0.110119048
translated_atca_attila.graphml,1172,235,254,254,924,226,1258,258,239,95,66,425,1.287878788,0.373737374,0.168583345,18,30,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3539,635,596,583,3667,583,3539,523,639,159,133,888,1.601503759,0.25,0.108073738,4,50,0.385416667
translated_dist_sagecal_sleep_2_copies.graphml,2334,491,450,482,1928,331,2334,323,487,158,96,569,1.583333333,0.333333333,0.112199775,3,50,0.513888889
translated_facet_img.graphml,4193,621,725,738,5512,716,4186,946,602,216,655,4441,1.273282443,0.049731183,0.178642269,48,31,0.05316092
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,4563,416,726,720,4661,560,4646,1033,419,68,699,4828,1.406294707,0.045679012,0.134219903,90,20,0.045679012
translated_atca_attila_3_copies.graphml,1233,249,210,210,461,108,1233,115,249,55,51,326,1.196078431,0.747474747,0.207215722,9,30,0.293650794
translated_chiles_two_dev1_4-8_copies.graphml,4077,310,586,539,4158,512,4088,767,321,24,634,4261,1.205047319,0.052706553,0.190446587,108,8,0.114197531
