name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1266,293,292,304,1014,212,1270,261,285,68,135,943,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_LoadParset.graphml,14,13,13,13,14,13,14,13,13,6,3,13,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,467,140,107,107,421,146,467,122,140,25,31,165,1.322580645,0.851351351,0.185678826,9,11,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,4683,403,671,674,4747,605,4714,1015,407,197,711,4868,1.264416315,0.061666667,0.167108989,80,17,0.061666667
translated_CALIB_6_copies.graphml,997,193,193,204,980,181,954,184,193,18,162,1026,1.222222222,0.44047619,0.186446281,12,13,0.560606061
translated_lofar_test_2x4.graphml,2169,438,462,453,2155,308,2166,358,443,140,220,1496,1.163636364,0.04468599,0.190420279,18,42,0.102777778
translated_chiles_two_6_copies.graphml,1007,196,240,250,1045,206,994,235,193,41,140,924,1.121428571,0.220238095,0.201802415,24,13,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,22425,1138,3012,3056,25931,2658,22459,4781,1168,324,3467,24009,1.296221517,0.009946237,0.164434287,240,31,0.010632184
translated_askap_hello.graphml,87,21,21,18,85,23,85,21,23,8,5,22,0.8,0.027027027,0.734126984,2,3,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,3595,503,684,693,4721,630,3598,838,512,215,559,3852,1.266547406,0.076131687,0.178714188,36,31,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,18742,1011,2531,2538,20224,2239,18695,3624,992,338,2899,19943,1.2935495,0.014501274,0.166538885,189,31,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,21179,1002,2945,2924,21422,2452,21103,4291,989,224,3271,22415,1.262916539,0.01712963,0.174083586,216,23,0.016313933
translated_dist_sagecal.graphml,2610,599,486,496,2498,449,2610,448,597,136,98,595,1.591836735,0.324561404,0.119072618,3,53,0.483660131
translated_askap_LoadVis.graphml,14,13,13,13,14,13,14,13,13,6,3,13,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_test_grpby_gather.graphml,856,183,177,192,811,144,854,181,171,3,154,1019,1.376623377,0.32173913,0.14992703,23,7,0.643478261
translated_chiles_two.graphml,577,157,176,164,524,136,583,153,153,20,76,530,1.078947368,0.44047619,0.230282887,12,13,0.560606061
translated_facet_img_8-8-4_copies.graphml,29524,1395,3948,3940,33704,3101,29431,6285,1410,106,4583,31603,1.298930831,0.007459677,0.165731472,320,31,0.007974138
translated_mwa_gleam.graphml,836,223,205,203,824,169,831,172,216,33,130,812,0.961538462,0.37,0.273856827,10,19,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,5800,371,757,766,5896,620,5818,1115,372,21,906,6207,1.218543046,0.036489152,0.185788346,156,8,0.079059829
