name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1630,344,353,347,1570,300,1602,330,323,98,135,899,0.4625,23,5.922877271,8,163,0.44047619
translated_askap_LoadParset.graphml,25,17,14,14,25,17,25,14,17,7,3,23,0.013513514,2,0.376811594,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,368,143,137,134,368,141,368,134,151,53,31,206,0.851351351,11,5.803946132,9,41,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,7732,788,1254,1235,8041,1267,7701,1626,779,355,711,4858,0.061666667,17,5.949627943,80,899,0.061666667
translated_CALIB_6_copies.graphml,1630,290,350,343,1655,291,1647,324,289,47,162,1157,0.44047619,13,5.229040622,12,198,0.560606061
translated_lofar_test_2x4.graphml,2734,540,717,692,2699,600,2746,596,571,253,220,1491,0.04468599,42,5.265630145,18,256,0.102777778
translated_chiles_two_6_copies.graphml,1561,260,289,291,1552,258,1500,271,260,56,140,940,0.220238095,13,4.997515198,24,157,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,37383,3312,5866,5924,40309,5478,37295,8290,3300,678,3467,23978,0.009946237,31,6.124319613,240,4494,0.010632184
translated_askap_hello.graphml,81,28,28,28,78,28,78,28,28,15,5,36,0.027027027,3,1.4,2,4,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,5833,729,1050,1026,5874,1044,5807,1315,732,299,559,3879,0.076131687,31,5.677750153,36,708,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,31355,2802,5079,5021,32451,4983,31314,6623,2768,785,2899,20139,0.014501274,31,6.069900257,189,3750,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,35004,3144,5701,5662,35339,5706,34958,7546,3150,553,3271,22668,0.01712963,23,5.792768848,216,4131,0.016313933
translated_dist_sagecal.graphml,2724,641,598,633,2587,494,2708,504,604,273,98,647,0.324561404,53,9.553480743,3,156,0.483660131
translated_askap_LoadVis.graphml,25,17,14,14,25,17,25,14,17,7,3,23,0.013513514,2,0.376811594,1,2,0.013513514
translated_test_grpby_gather.graphml,1354,199,256,263,1375,201,1378,283,210,25,154,1011,0.32173913,7,6.900818272,23,212,0.643478261
translated_chiles_two.graphml,788,212,202,200,786,189,786,213,201,28,76,496,0.44047619,13,4.246179966,12,82,0.560606061
translated_facet_img_8-8-4_copies.graphml,48892,4153,7696,7759,52581,7777,48975,10542,4193,228,4583,31637,0.007459677,31,6.111671358,320,5953,0.007974138
translated_mwa_gleam.graphml,1393,261,309,287,1375,263,1385,244,262,59,130,832,0.37,19,3.664709689,10,125,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,9707,916,1496,1507,9742,1361,9649,2063,919,61,906,6313,0.036489152,8,5.463466011,156,1104,0.079059829
translated_lofar_nsm_2x4.graphml,2502,478,487,498,2082,353,2481,436,460,132,214,1426,0.050271739,42,3.711315883,16,220,0.115625
translated_chiles_simple.graphml,263,96,66,65,253,74,245,94,96,21,22,138,0.27027027,5,4.108695652,5,21,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,10906,1098,1788,1775,11045,1613,10946,2266,1079,362,983,6761,0.0578125,23,6.017176635,64,1235,0.055059524
translated_CALIB_12_copies.graphml,3229,417,551,557,3196,476,3274,614,417,39,324,2250,0.220238095,13,5.314765432,24,396,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1630,344,379,347,1570,300,1638,330,329,98,135,899,0.4625,23,5.922877271,8,163,0.44047619
translated_askap_dingo.graphml,919,178,161,153,721,145,932,144,179,55,59,389,0.770833333,12,4.560847022,8,66,0.925
translated_atca_minh_10-8_copies.graphml,1277,234,243,241,1273,230,1270,254,234,97,78,552,0.352380952,11,7.395833333,30,115,0.274074074
translated_lofar_test_4x4.graphml,3757,620,701,705,3943,675,3757,794,616,228,348,2313,0.023657289,42,5.32116821,34,416,0.054411765
