name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,17528,1615,2732,2718,17549,2655,17473,3898,1570,196,1615,11155,1.473065015,0.019032922,0.123735938,216,20,0.019032922
translated_chiles_two_dev1.graphml,798,211,200,190,801,168,824,209,169,19,78,552,1.102564103,0.474358974,0.232027992,12,8,0.972972973
translated_cont_img.graphml,4341,791,742,719,4329,706,4341,658,791,347,148,1032,1.195945946,0.616666667,0.196126283,4,97,0.194736842
translated_CALIB_8_copies.graphml,2175,317,423,396,2171,358,2195,399,312,38,216,1441,1.222222222,0.330357143,0.183618764,16,13,0.420454545
translated_dist_sagecal_sleep_9_copies.graphml,9860,1021,1111,1118,9385,919,9644,1058,984,596,355,2311,1.630985915,0.1,0.095802217,10,50,0.154166667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,562,155,150,150,562,155,562,150,155,81,26,157,1,0.040540541,0.356617647,3,23,0.851351351
translated_atca_minh_4-5_copies.graphml,690,132,161,168,703,146,690,161,136,48,42,230,1.380952381,0.880952381,0.144827586,12,11,0.685185185
translated_chiles_two_dev1_8-8_copies.graphml,4583,487,736,727,4726,632,4666,850,480,43,428,2852,1.196261682,0.079059829,0.184508727,72,12,0.102777778
translated_CALIB.graphml,1065,207,247,248,1073,189,1064,239,193,27,108,695,1.222222222,0.660714286,0.187700535,8,13,0.840909091
translated_lofar_test_4x8.graphml,6799,908,1265,1255,6928,1113,6864,1542,947,279,690,4685,1.2,0.012187088,0.186205745,66,42,0.028030303
translated_dist_sagecal_sleep_5_copies.graphml,5556,830,810,807,5135,690,5454,785,805,504,207,1433,1.618357488,0.166666667,0.10829436,6,50,0.256944444
translated_chiles_two_12_copies.graphml,2886,388,492,503,2987,371,2918,478,368,132,272,1782,1.139705882,0.110119048,0.206957493,48,13,0.140151515
translated_chiles_two_dev2.graphml,5365,701,934,901,6280,925,5421,1093,687,408,499,3333,1.268537074,0.076131687,0.164885001,36,31,0.070881226
translated_mwa_gleam_simple.graphml,792,152,145,139,793,146,789,140,153,24,72,470,0.916666667,0.616666667,0.261405436,12,7,0.810810811
translated_facet_img_2-2-2_copies.graphml,2034,414,500,479,2020,391,2024,471,413,397,191,1232,1.230366492,0.228395062,0.193612462,12,31,0.212643678
translated_dist_sagecal_sleep.graphml,7264,930,948,902,7003,827,7250,904,887,617,281,1952,1.62633452,0.125,0.109890567,8,50,0.192708333
translated_chiles_two_dev1_8-4_copies.graphml,2587,315,432,440,2571,329,2601,446,300,34,244,1565,1.163934426,0.142307692,0.192770704,40,8,0.308333333
translated_mwa_gleam_simple_8_copies.graphml,983,179,205,198,977,174,970,203,185,37,96,574,0.916666667,0.4625,0.315097403,16,7,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,22357,2034,3602,3686,22210,3576,22195,4681,2089,601,2068,14311,1.259187621,0.027407407,0.171961239,135,23,0.026102293
translated_atca_attila_8_copies.graphml,1275,239,258,258,1157,215,1220,253,242,124,76,496,1.328947368,0.28030303,0.142837767,24,30,0.110119048
translated_atca_attila.graphml,1150,239,251,251,752,205,1155,236,239,136,66,432,1.287878788,0.373737374,0.168583345,18,30,0.146825397
translated_dist_sagecal_sleep_3_copies.graphml,3745,681,613,620,3590,616,3745,542,681,323,133,898,1.601503759,0.25,0.108073738,4,50,0.385416667
translated_dist_sagecal_sleep_2_copies.graphml,2539,553,497,497,2212,413,2539,430,544,230,96,574,1.583333333,0.333333333,0.112199775,3,50,0.513888889
translated_facet_img.graphml,6770,804,1174,1188,7181,1163,6741,1559,839,295,655,4346,1.273282443,0.049731183,0.178642269,48,31,0.05316092
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,7618,843,1260,1265,7674,1188,7588,1755,813,194,699,4947,1.406294707,0.045679012,0.134219903,90,20,0.045679012
translated_atca_attila_3_copies.graphml,1207,236,224,224,607,157,1207,202,242,102,51,329,1.196078431,0.747474747,0.207215722,9,30,0.293650794
translated_chiles_two_dev1_4-8_copies.graphml,6824,628,1043,1021,6884,914,6801,1393,670,34,634,4378,1.205047319,0.052706553,0.190446587,108,8,0.114197531
