name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel,
translated_atca_attila_4_copies.graphml,16072,11114,12337,12337,18799,11329,15898,13760,11023,12587,56,19179,0.560606060606,30,0.115061674599,12,69,0.220238095238,0.220238095238
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,203451,178730,266283,268618,205321,181763,206131,327187,179245,23927,1095,380641,0.028549382716,19,0.150822845947,144,1603,0.0302287581699,0.0302287581699
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,300567,262488,453544,444958,300681,269069,302507,501431,261723,32583,1615,559841,0.0190329218107,20,0.156649701784,216,2379,0.0190329218107,0.0190329218107
translated_chiles_two_dev1.graphml,14784,12821,12655,12791,14896,13393,14386,15965,12440,2429,78,26900,0.474358974359,8,0.0794747879134,12,86,0.972972972973,0.972972972973
translated_cont_img.graphml,54382,34320,36816,36706,53829,36523,54382,41176,34320,30175,148,51190,0.616666666667,97,0.101511723679,4,177,0.194736842105,0.194736842105
translated_CALIB_8_copies.graphml,39818,34822,35659,34182,39643,35258,40552,42474,34616,3760,216,73923,0.330357142857,13,0.108858015923,16,264,0.420454545455,0.420454545455
translated_dist_sagecal_sleep_9_copies.graphml,117005,60968,61595,60968,118037,63724,117783,74871,62506,63162,355,124863,0.1,50,0.182753289154,10,579,0.154166666667,0.154166666667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,8601,7403,7466,7466,9033,7466,8601,7403,7403,7077,26,8940,0.0405405405405,23,0.0656599552573,3,26,0.851351351351,0.851351351351
translated_atca_minh_4-5_copies.graphml,11022,7730,7902,7926,12820,8530,10394,9564,7610,5005,42,14085,0.880952380952,11,0.140497320689,12,58,0.685185185185,0.685185185185
translated_chiles_two_dev1_8-8_copies.graphml,81003,70263,70125,70285,80636,71627,79684,81470,69496,10071,428,148140,0.0790598290598,12,0.0976292948449,72,512,0.102777777778,0.102777777778
translated_CALIB.graphml,19793,17877,18004,17877,20133,18347,19945,20445,18268,4260,108,37162,0.660714285714,13,0.106560464991,8,132,0.840909090909,0.840909090909
translated_lofar_test_4x8.graphml,129285,114570,130552,129453,129850,116556,129964,154108,113677,21845,690,241330,0.012187088274,42,0.105868313098,66,828,0.0280303030303,0.0280303030303
translated_dist_sagecal_sleep_5_copies.graphml,70870,37066,37060,37205,69061,39072,69028,45300,36984,43766,207,73624,0.166666666667,50,0.186468088803,6,335,0.256944444444,0.256944444444
translated_chiles_two_12_copies.graphml,52482,44894,45593,45126,52775,47715,51537,58352,45271,9106,272,95851,0.110119047619,13,0.0881791407865,48,310,0.140151515152,0.140151515152
translated_chiles_two_dev2.graphml,93103,82377,81891,82623,102517,83549,91840,120448,81907,30547,499,171246,0.0761316872428,31,0.118826735844,36,633,0.0708812260536,0.0708812260536
