,up greedy,up insetion,random oct_schedul,up oct shceulde,oct greedy,oct insertion ,random greedy,oct oct schedule,random insertion
up greedy,0,0,0.101449275362319,0.101449275362319,0.72463768115942,0,0.36231884057971,0.376811594202899,0
up insetion,1,0,0.449275362318841,0.420289855072464,1,0.91304347826087,1,0.753623188405797,0.521739130434783
random oct_schedul,0.898550724637681,0.550724637681159,0,0.36231884057971,0.898550724637681,0.782608695652174,0.898550724637681,0.782608695652174,0.507246376811594
up oct shceulde,0.898550724637681,0.579710144927536,0.63768115942029,0,0.898550724637681,0.782608695652174,0.898550724637681,0.782608695652174,0.492753623188406
oct greedy,0.27536231884058,0,0.101449275362319,0.101449275362319,0,0.014492753623188,0.188405797101449,0.260869565217391,0
oct insertion ,1,0.086956521739131,0.217391304347826,0.217391304347826,0.985507246376812,0,1,0.739130434782609,0.014492753623188
random greedy,0.63768115942029,0,0.101449275362319,0.101449275362319,0.811594202898551,0,0,0.391304347826087,0
oct oct schedule,0.623188405797101,0.246376811594203,0.217391304347826,0.217391304347826,0.739130434782609,0.260869565217391,0.608695652173913,0,0.173913043478261
random insertion,1,0.478260869565217,0.492753623188406,0.507246376811594,1,0.985507246376812,1,0.826086956521739,0
