name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,14677,11647,11870,11765,25575,14188,15039,26059,11830,14346,135,45671,0.4625,23,0.101148228433,8,163,0.440476190476
translated_cont_img.graphml,52899,31490,31624,31542,54669,31810,52899,33784,31490,26343,148,51370,0.616666666667,97,0.101156027548,4,177,0.194736842105
translated_atca_minh_3-2_copies.graphml,7649,3560,3655,3662,8510,4181,7649,4655,3560,4597,31,10541,0.851351351351,11,0.139020904548,9,41,0.913580246914
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,67972,53654,53114,53491,69623,56258,67525,84757,54249,22183,711,247173,0.0616666666667,17,0.112029701058,80,899,0.0616666666667
translated_CALIB_6_copies.graphml,15179,12330,11622,11530,15582,12852,14526,11057,12270,3828,162,55404,0.440476190476,13,0.0995355329338,12,198,0.560606060606
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,153263,122092,198372,204535,154622,127595,152599,391577,121978,39590,1615,562436,0.0190329218107,20,0.155926942259,216,2379,0.0190329218107
translated_dist_sagecal.graphml,31739,15954,16117,16108,32057,16132,31739,17551,15954,19246,98,34278,0.324561403509,53,0.189424763429,3,156,0.483660130719
translated_askap_hello.graphml,1144,1125,1125,1125,1144,1125,1144,1125,1125,1096,5,1376,0.027027027027,3,0.0587209302326,2,4,0.027027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,53701,42438,42347,41797,58414,47965,53166,70302,43105,25201,559,194215,0.0761316872428,31,0.119927949941,36,708,0.0708812260536
translated_askap_LoadParset.graphml,915,838,833,833,915,838,915,833,838,787,3,842,0.0135135135135,2,0.0403800475059,1,2,0.0135135135135
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,309307,247364,730021,725183,308253,259047,307508,956168,247496,45488,3271,1000000,0.0171296296296,23,0.131479715072,216,4131,0.0163139329806
translated_mwa_gleam_simple.graphml,6394,5296,5686,5184,6490,5580,6808,5291,5561,1761,72,23873,0.616666666667,7,0.055369385219,12,66,0.810810810811
translated_test_grpby_gather.graphml,15339,11850,10183,10440,14437,12434,14718,9447,12146,1826,154,54516,0.321739130435,7,0.146763061577,23,212,0.64347826087
translated_askap_LoadVis.graphml,915,838,833,833,915,838,915,833,838,787,3,842,0.0135135135135,2,0.0403800475059,1,2,0.0135135135135
translated_dist_sagecal_sleep_9_copies.graphml,109433,30100,29723,29833,109703,34967,109785,44908,30187,49138,355,122895,0.1,50,0.185679840056,10,579,0.154166666667
