name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,18046,15111,15284,15152,50468,18026,18538,28208,15093,20723,135,47085,0.4625,23,0.102143473682,8,163,0.440476190476
translated_cont_img.graphml,54402,32888,33672,33859,53724,33431,54402,37245,32888,27978,148,51285,0.616666666667,97,0.101511723679,4,177,0.194736842105
translated_atca_minh_3-2_copies.graphml,7018,4063,4320,4387,8787,4882,6509,5778,3999,4269,31,10361,0.851351351351,11,0.149364932712,9,41,0.913580246914
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,89813,74343,73338,74032,89505,77798,89139,139099,74372,16191,711,246250,0.0616666666667,17,0.11243728525,80,899,0.0616666666667
translated_CALIB_6_copies.graphml,20210,17094,16153,15458,19934,17105,20388,14775,17772,4101,162,55138,0.440476190476,13,0.0970806560455,12,198,0.560606060606
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,202305,168390,327242,329799,210354,173248,201302,453643,168333,21002,1615,557106,0.0190329218107,20,0.156649701784,216,2379,0.0190329218107
translated_dist_sagecal.graphml,33267,16964,17219,16986,33562,17447,33366,17961,16919,18924,98,34787,0.324561403509,53,0.191378862321,3,156,0.483660130719
translated_askap_hello.graphml,1608,1289,1289,1289,1481,1289,1481,1289,1289,1269,5,1762,0.027027027027,3,0.0505315822389,2,4,0.027027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,69208,57439,56497,56352,77021,62372,68612,89707,58183,43589,559,192030,0.0761316872428,31,0.119844028576,36,708,0.0708812260536
translated_askap_LoadParset.graphml,803,772,772,772,803,772,803,772,772,772,3,772,0.0135135135135,2,0.0336300692384,1,2,0.0135135135135
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,409229,339970,863040,840441,410391,348020,409302,1004656,342161,38751,3271,1000000,0.0171296296296,23,0.131479715072,216,4131,0.0163139329806
translated_mwa_gleam_simple.graphml,8710,7305,7149,6963,8695,7826,8658,6348,7462,2000,72,23095,0.616666666667,7,0.054673174229,12,66,0.810810810811
translated_test_grpby_gather.graphml,19887,16196,14586,13463,19180,16734,19847,11501,16563,2488,154,53423,0.321739130435,7,0.15123783273,23,212,0.64347826087
translated_askap_LoadVis.graphml,803,772,772,772,803,772,803,772,772,772,3,772,0.0135135135135,2,0.0336300692384,1,2,0.0135135135135
translated_dist_sagecal_sleep_9_copies.graphml,111660,39797,38509,39134,111776,43342,111487,51731,39239,54718,355,121999,0.1,50,0.182753289154,10,579,0.154166666667
translated_chiles_two.graphml,10391,9047,8947,8715,10729,9385,10306,10652,8930,10706,76,25930,0.440476190476,13,0.0890374585111,12,82,0.560606060606
translated_facet_img_8-8-4_copies.graphml,570966,477212,1004758,1004357,615852,492824,571973,1008539,476757,45273,4583,1000000,0.00745967741935,31,0.193162704997,320,5953,0.00797413793103
translated_mwa_gleam.graphml,16308,14432,13835,14103,16187,14995,16560,16899,14386,5376,130,45277,0.37,19,0.0666391654667,10,125,0.435294117647
translated_chiles_two_dev1_12-12_copies.graphml,114253,95833,94365,94967,115302,99415,114313,148459,96094,3566,906,316490,0.0364891518738,8,0.106659925719,156,1104,0.0790598290598
translated_lofar_nsm_2x4.graphml,31280,24647,23229,23526,31748,27511,31617,24418,25141,15248,214,73107,0.0502717391304,42,0.0747181664085,16,220,0.115625
translated_chiles_simple.graphml,3211,2806,2628,2628,3133,2818,3177,2567,2768,3388,22,6914,0.27027027027,5,0.0691961541299,5,21,0.202702702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,123006,102894,105633,98814,124140,108239,124519,209894,102858,23512,983,338104,0.0578125,23,0.114366092864,64,1235,0.0550595238095
translated_CALIB.graphml,13222,11294,11065,10874,13497,11915,13344,11222,11439,3528,108,36641,0.660714285714,13,0.106560464991,8,132,0.840909090909
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,18046,15111,15066,15152,50468,18026,18972,28208,15107,20723,135,47085,0.4625,23,0.102143473682,8,163,0.440476190476
translated_askap_dingo.graphml,11491,6701,6783,6683,11265,7050,11353,8866,6642,3973,59,20202,0.770833333333,12,0.103379724964,8,66,0.925
translated_atca_minh_10-8_copies.graphml,14814,8482,9058,9000,16899,10114,14870,13384,8423,9692,78,26592,0.352380952381,11,0.153793727957,30,115,0.274074074074
translated_lofar_test_4x4.graphml,48413,38270,33140,33222,53917,42890,48042,44922,38599,24117,348,121553,0.0236572890026,42,0.105745630601,34,416,0.0544117647059
translated_atca_attila_3_copies.graphml,14684,9375,9523,9523,16577,9959,13777,10296,9375,10821,51,17221,0.747474747475,30,0.114182742677,9,61,0.293650793651
translated_chiles_two_8_copies.graphml,24040,19457,19505,19485,22544,20284,23684,24014,19760,6928,184,64170,0.165178571429,13,0.0960585259861,32,208,0.210227272727
translated_dist_sagecal_sleep_2_copies.graphml,30881,15783,15905,15883,30881,16561,30678,18705,15935,21585,96,33038,0.333333333333,50,0.167943568382,3,152,0.513888888889
translated_lofar_test_2x4.graphml,31086,24913,23183,23415,32795,26602,31492,23574,24940,19313,220,75098,0.0446859903382,42,0.100235759076,18,256,0.102777777778
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,32466,26083,26300,26779,47536,27883,32013,40674,26690,20351,247,85858,0.137037037037,20,0.131377194472,30,339,0.137037037037
translated_askap_dingo_expanded.graphml,11491,6701,6642,6683,11265,7050,11286,8866,7017,3973,59,20202,0.770833333333,12,0.103379724964,8,66,0.925
translated_dist_sagecal_sleep_1_copies.graphml,18961,15100,15100,15100,19115,15100,18961,15100,15100,15618,59,20202,0.216216216216,50,0.181734972972,2,91,0.770833333333
translated_test_mk_grpby.graphml,17223,14330,14248,14301,39369,15574,16587,18527,14282,8643,124,43379,0.220238095238,17,0.0950714792841,24,145,0.205555555556
translated_lofar_cal.graphml,1685,1155,1221,1221,1685,1155,1685,1221,1155,1116,4,1213,0.0135135135135,3,0.0700622775801,1,3,0.0135135135135
translated_atca_minh.graphml,8880,5204,5711,5689,12150,6404,9140,8023,5207,8887,45,14896,0.704761904762,11,0.147297643443,15,63,0.548148148148
translated_atca_attila_12_copies.graphml,16966,12002,13713,13613,19362,13209,16862,15390,11860,11735,96,33038,0.186868686869,30,0.13062735545,36,133,0.0734126984127
translated_test_seq_gather.graphml,23893,10190,10486,10297,25681,11439,24561,13157,10281,13319,74,25803,0.864864864865,25,0.116957032647,4,97,0.804347826087
translated_mwa_gleam_simple_12_copies.graphml,18157,14609,13487,13824,18057,15579,17500,11117,14903,1916,144,48619,0.308333333333,7,0.0584200489063,24,132,0.616666666667
translated_atca_attila_4_copies.graphml,15315,9019,9326,9305,15809,9734,14430,10063,9145,11616,56,18900,0.560606060606,30,0.115061674599,12,69,0.220238095238
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,138228,114135,148999,148628,138039,119095,137320,258761,114822,42878,1095,379557,0.028549382716,19,0.150822845947,144,1603,0.0302287581699
translated_lofar_test_8x8.graphml,150498,124429,91524,90425,156347,134038,148377,168857,124932,17581,1202,414860,0.0061872909699,42,0.107801811927,130,1468,0.0142307692308
translated_chiles_two_dev1.graphml,9852,8192,8658,8606,12646,8504,9772,9576,8485,2100,78,26592,0.474358974359,8,0.0794747879134,12,86,0.972972972973
translated_CALIB_8_copies.graphml,26801,22365,20345,19838,27477,23484,26683,16068,23070,3658,216,74558,0.330357142857,13,0.108858015923,16,264,0.420454545455
translated_facet_img_2-2-2_copies.graphml,25858,21481,21239,21293,30581,23943,25748,38926,21575,23949,191,66191,0.228395061728,31,0.110491883695,12,235,0.212643678161
translated_chiles_two_dev1_4-8_copies.graphml,80340,65705,66391,66331,81887,70012,78989,84662,65937,4379,634,221822,0.0527065527066,8,0.106617712798,108,764,0.114197530864
translated_atca_minh_4-5_copies.graphml,9553,5411,5771,5583,11140,6679,9553,7737,5318,6345,42,14546,0.880952380952,11,0.140497320689,12,58,0.685185185185
translated_chiles_two_dev1_8-8_copies.graphml,53897,44930,44089,44392,55484,47481,53457,53922,45185,7889,428,148611,0.0790598290598,12,0.0976292948449,72,512,0.102777777778
translated_CALIB_12_copies.graphml,40185,33473,29253,28663,41269,35940,39998,24243,33735,3968,324,110371,0.220238095238,13,0.109102953156,24,396,0.280303030303
translated_lofar_test_4x8.graphml,86312,71929,57396,56276,91132,77550,86663,88403,73012,11544,690,239945,0.012187088274,42,0.105868313098,66,828,0.0280303030303
translated_dist_sagecal_sleep_5_copies.graphml,66219,25377,24932,25157,65432,27962,65880,34556,25371,36783,207,71571,0.166666666667,50,0.186468088803,6,335,0.256944444444
translated_chiles_two_12_copies.graphml,33023,28091,28408,27714,34941,30592,33895,31711,27580,4875,272,93194,0.110119047619,13,0.0881791407865,48,310,0.140151515152
translated_chiles_two_dev2.graphml,63588,53215,52500,52151,77930,57989,63747,83664,53679,27286,499,172533,0.0761316872428,31,0.118826735844,36,633,0.0708812260536
translated_lofar_std.graphml,26510,20505,18791,18938,27749,22479,26244,20168,20324,12210,192,64379,0.12091503268,33,0.0956055558046,18,224,0.132616487455
translated_atca_attila_8_copies.graphml,15794,11219,12047,12333,18410,12385,15917,13923,11148,9670,76,25930,0.280303030303,30,0.127387387387,24,101,0.110119047619
translated_dist_sagecal_sleep.graphml,89858,33753,32466,32969,90096,36525,89990,43653,32865,55348,281,96752,0.125,50,0.189346332975,8,457,0.192708333333
translated_chiles_two_dev1_8-4_copies.graphml,30430,25795,24956,25393,30730,25769,30373,28491,25400,3043,244,84129,0.142307692308,8,0.100003238576,40,284,0.308333333333
translated_mwa_gleam_simple_8_copies.graphml,11595,10156,9157,9870,11768,10430,12037,8688,10250,1822,96,33038,0.4625,7,0.0598656153922,16,88,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,261082,216795,464503,448851,261934,226340,260554,624175,218166,24677,2068,723171,0.0274074074074,23,0.113037653761,135,2604,0.026102292769
translated_atca_attila.graphml,17123,10140,10480,10650,19835,11438,15447,12087,10232,11527,66,22465,0.373737373737,30,0.129594985366,18,85,0.146825396825
translated_facet_img.graphml,82538,68286,67455,67329,133736,73938,84020,120863,69208,52918,655,225953,0.0497311827957,31,0.122448554457,48,834,0.0531609195402
translated_dist_sagecal_sleep_3_copies.graphml,42013,17543,17828,17441,42416,19193,42640,23913,17577,29295,133,45815,0.25,50,0.186202210509,4,213,0.385416666667
translated_chiles_two_6_copies.graphml,18217,15038,14934,14730,19027,16569,17815,18974,15228,8440,140,49281,0.220238095238,13,0.0972433065606,24,157,0.280303030303
translated_mwa_gleam_simple_3_copies.graphml,4809,4271,4329,4321,4612,4633,4804,4317,4207,1941,36,12293,0.810810810811,7,0.0745638983694,6,33,0.405405405405
translated_chiles_two_dev2_3-6-9_copies.graphml,361523,302427,731852,719028,375422,313099,361115,819267,301998,71088,2899,1000000,0.0145012737605,31,0.122252069679,189,3750,0.013501185915
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,88288,73382,72694,73689,89571,75318,89245,132785,74090,21301,699,239726,0.0456790123457,20,0.139855491148,90,983,0.0456790123457
translated_chiles_two_dev2_6-8-4_copies.graphml,430978,364464,930085,914021,468545,374478,432475,1005627,362866,41802,3467,1000000,0.00994623655914,31,0.146912450534,240,4494,0.010632183908
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,8799,6981,6981,6981,9148,7022,8799,6981,6981,6788,26,8983,0.0405405405405,23,0.0656599552573,3,26,0.851351351351
